title,link,user_name,date,description,category
Cách viết ký hiệu toán học trong Obsidian,https://quantrimang.com/cuoc-song/cach-viet-ky-hieu-toan-hoc-trong-obsidian-198465,Kandy Kandy,6 ngày,Bạn cần viết phương trình toán học trong Obsidian? Dưới đây là cách viết ký hiệu toán học dễ dàng và hiệu quả trong Obsidian.,Kỹ năng
Tại sao không nên tắm ngay trước khi đi ngủ?,https://quantrimang.com/cuoc-song/tai-sao-khong-nen-tam-ngay-truoc-khi-di-ngu-198383,Kandy Kandy,26/07,"Cảm giác thật tuyệt nếu đi ngủ sau khi tắm rửa sạch sẽ bằng nước ấm, thế nhưng, theo y học, hành động này không phải cách hay để có giấc ngủ ngon.",Kỹ năng
Cách vẽ tóc rối cho nhân vật trong anime/manga,https://quantrimang.com/cong-nghe/cach-ve-toc-roi-cho-nhan-vat-trong-anime-manga-198285,Kandy Kandy,20/07,"Vẽ tóc anime về cơ bản không khó. Ở hướng dẫn dưới đây, hãy cùng Quantrimang học cách vẽ một kiểu tóc cụ thể hơn, đó là tóc rối cho nhân vật trong anime, manga.",Kỹ năng
"D66 là khối gì? D66 gồm những môn nào, ngành nào, trường nào?",https://quantrimang.com/cuoc-song/d66-la-khoi-gi-gom-nhung-mon-nao-198254,PP,19/07,"“D66 là khối gì, gồm những môn nào, học ngành nào?” là thắc mắc của nhiều bạn học sinh muốn nộp hồ sơ theo học các ngành thuộc khối xã hội.",Kỹ năng
Những cách công nghệ có thể giúp bạn sống chậm,https://quantrimang.com/cuoc-song/nhung-cach-cong-nghe-co-the-giup-ban-song-cham-198174,Kandy Kandy,14/07,Bạn đang tìm cách sống chậm và chánh niệm hơn trong sự hỗn loạn của thế giới số hiện nay? Dưới đây là cách công nghệ có thể giúp bạn nhanh chóng đạt được mục tiêu sống chậm.,Kỹ năng
Điểm chuẩn Đại Học Sư Phạm Hà Nội 2 năm 2023,https://quantrimang.com/cuoc-song/diem-chuan-dh-su-pham-ha-noi-2-198124,Minh Mũm Mĩm,11/07,Trường ĐH Sư Phạm Hà Nội 2 thông báo đến thí sinh điểm đủ điều kiện trúng tuyển đại học chính quy xét tuyển sử dụng kết quả học tập cấp THPT,Kỹ năng
Điểm chuẩn Đại học Sư Phạm Hà Nội 2023,https://quantrimang.com/cuoc-song/diem-chuan-dai-hoc-su-pham-ha-noi-198123,Nguyen Hoai,11/07,"Năm nay trường Đại học Sư Phạm Hà Nội quyết định công bố điểm trúng tuyển xét theo kết quả thi tốt nghiệm THPT là từ 16,75 đến 28,5.",Kỹ năng
Tổng hợp những chủ đề thú vị để thảo luận nhóm,https://quantrimang.com/cuoc-song/tong-hop-nhung-chu-de-thu-vi-de-thao-luan-nhom-198024,Kandy Kandy,05/07,"Dù bạn đang ở cùng ai, thảo luận về một chủ đề thú vị luôn khiến thời gian ở bên nhau trở nên đáng nhớ hơn. Nếu đang bí ý tưởng về chủ đề thảo luận nhóm, dưới đây là một số gợi ý dành cho bạn.",Kỹ năng
Cách vẽ mèo anime chi tiết từng bước,https://quantrimang.com/cuoc-song/cach-ve-meo-anime-chi-tiet-tung-buoc-197987,Kandy Kandy,03/07,Hướng dẫn từng bước bên dưới chỉ ra cách vẽ mèo theo phong cách anime. Quá trình vẽ mèo anime này được chia thành 12 bước.,Kỹ năng
Những cách vẽ mắt anime đang khóc,https://quantrimang.com/cuoc-song/nhung-cach-ve-mat-anime-dang-khoc-197956,Kandy Kandy,30/06,Hướng dẫn dưới đây giải thích 4 cách vẽ mắt anime và manga đang khóc theo nhiều kiểu khác nhau. Hãy cùng Quantrimang.com tìm hiểu nhé!,Kỹ năng
TOP công cụ hỗ trợ trực quan tốt nhất cho mọi tác vụ,https://quantrimang.com/cuoc-song/top-cong-cu-ho-tro-truc-quan-tot-nhat-cho-moi-tac-vu-197871,Kandy Kandy,26/06,"Bạn cần truyền tải ý tưởng trực quan nhưng chưa biết phải làm thế nào? Dưới đây là một số công cụ hỗ trợ trực quan tốt nhất cho mọi nhiệm vụ, từ thuyết trình tới báo cáo...",Kỹ năng
Cách vẽ tóc anime che một bên mắt,https://quantrimang.com/cuoc-song/cach-ve-toc-anime-che-mot-ben-mat-197831,Kandy Kandy,23/06,Hướng dẫn này sẽ cho bạn biết cách vẽ kiểu tóc anime che một bên mắt. Bài viết bao gồm 6 bước kèm ví dụ minh họa cụ thể và video hướng dẫn từng bước vẽ tóc anime đơn giản mà đẹp.,Kỹ năng
Làm thuê hay làm tự do: Lựa chọn nghề nào tốt hơn?,https://quantrimang.com/cuoc-song/lam-thue-hay-lam-tu-do-lua-chon-nghe-nao-tot-hon-197628,Kandy Kandy,12/06,Bạn đang cân nhắc thay đổi công việc? Vậy thì hãy cùng Quantrimang.com tìm hiểu về ưu và nhược điểm của làm thuê và làm tự do để đưa ra quyết định chính xác hơn nhé!,Kỹ năng
Eisenhower Matrix và To-Do List: Cách quản lý thời gian nào phù hợp với bạn?,https://quantrimang.com/cuoc-song/eisenhower-matrix-va-to-do-list-cach-quan-ly-thoi-gian-nao-phu-hop-voi-ban-197546,Kandy Kandy,07/06,Bạn đang gặp khó khăn trong quản lý thời gian? Bạn đang phân vân giữa hai phương thức Eisenhower Matrix và To-Do List? Bài viết dưới đây sẽ giúp bạn đưa ra quyết định dễ dàng hơn.,Kỹ năng
Cách ngủ ngon khi đi du lịch để có sức khỏe tốt hơn,https://quantrimang.com/cuoc-song/cach-ngu-ngon-khi-di-du-lich-de-co-suc-khoe-tot-hon-197522,Kandy Kandy,06/06,"Du lịch dài ngày có thể ảnh hưởng tới thói quen ngủ của bạn, thế nhưng, công nghệ sẽ giúp bạn duy trì lịch ngủ tốt trên đường đi.",Kỹ năng
