title,link,user_name,date,description,category
Cách ẩn lối tắt Threads trong giao diện Instagram,https://quantrimang.com/cong-nghe/cach-an-loi-tat-threads-trong-giao-dien-instagram-198564,Nguyễn Trang,2 ngày,Không phải ai cũng muốn hiển thị trang cá nhân Threads trên giao diện Threads. Nếu vậy bạn nên gỡ huy hiệu Threads trên Threads và ẩn nối tắt Threads trong giao diện Instagram trong bài viết dưới đây.,Ứng dụng
Hướng dẫn học tiếng Anh online trên Zalo,https://quantrimang.com/cong-nghe/huong-dan-hoc-tieng-anh-online-tren-zalo-198557,Nguyễn Trang,2 ngày,Trong bài viết này bạn sẽ có thêm ứng dụng học tiếng Anh online trên Zalo dành cho các bé tiểu học với những bài giảng thú vị. Dưới đây là hướng dẫn học tiếng Anh online trên Zalo.,Ứng dụng
Cách gửi nhiều ảnh cùng lúc trên WhatsApp,https://quantrimang.com/cong-nghe/cach-gui-nhieu-anh-cung-luc-tren-whatsapp-198545,Nguyễn Trang,1 giờ,"Mặc định thì khi bạn gửi ảnh trên WhatsApp thì mặc định gửi 1 hình ảnh mà thôi. Tuy nhiên, có cách thực hiện rất đơn giản để chúng ta có thể gửi nhiều ảnh cùng lúc trên WhatsApp, mà không cần tới ứng dụng nào hỗ trợ.",Ứng dụng
Cách quay video trực tiếp gửi trên WhatsApp,https://quantrimang.com/cong-nghe/cach-quay-video-truc-tiep-gui-tren-whatsapp-198539,Nguyễn Trang,4 giờ,"WhatsApp có tùy chọn quay video gửi trực tiếp trong tin nhắn trên ứng dụng để bạn có thể quay video gửi cho đối phương, mà không cần phải quay video trên điện thoại rồi gửi tập tin đính kèm.",Ứng dụng
Cách sắp xếp brush trong GIMP bằng tag,https://quantrimang.com/cong-nghe/sap-xep-brush-trong-gimp-bang-tag-198538,Kandy parfume,3 ngày,"Nhờ có các plugin, add-on và mức độ tùy chỉnh sâu, GIMP là một yếu tố chính trong quy trình làm việc của nhiều người dùng thành thạo.",Ứng dụng
Hướng dẫn thêm tin vào tin nổi bật Instagram,https://quantrimang.com/cong-nghe/huong-dan-them-tin-vao-tin-noi-bat-instagram-198532,Nguyễn Trang,8 giờ,"Khi bạn đã đăng tin nổi bật Instagram thì có thể đăng thêm tin vào tin nổi bật đó, tiếp nối nội dung của video nổi bật trước đó. Như vậy bạn không cần phải xóa tin nổi bật trước đó.",Ứng dụng
Cách tô màu nhanh hơn trong Krita bằng tính năng Colorize Mask,https://quantrimang.com/cong-nghe/to-mau-nhanh-trong-krita-bang-colorize-mask-198529,Kandy parfume,3 ngày,Nhiều người dùng không biết rằng Krita có một công cụ với khả năng giảm thời gian tô màu xuống chỉ còn vài phút.,Ứng dụng
Hướng dẫn kiểm tra quyền riêng tư trên WhatsApp,https://quantrimang.com/cong-nghe/huong-dan-kiem-tra-quyen-rieng-tu-whatsapp-198526,Nguyễn Trang,3 ngày,"WhatsApp đã có thêm công cụ kiểm tra quyền riêng tư tài khoản để bạn thiết lập quyền riêng tư, bảo mật cho WhatsApp được tốt hơn.",Ứng dụng
Cách dùng Me-taverse chuyển ảnh chân dung thành ảnh hoạt hình,https://quantrimang.com/cong-nghe/cach-dung-me-taverse-chuyen-anh-thanh-anh-hoat-hinh-198524,Nguyễn Trang,3 ngày,"Trong bài viết này, bạn sẽ biết cách chuyển ảnh chân dung thành ảnh hoạt hình, thay đổi hình ảnh của bạn theo nhiều phong cách khác nhau trên Me-taverse.",Ứng dụng
Cách định dạng dữ liệu dựa trên điều kiện ô khác trong Excel,https://quantrimang.com/cong-nghe/cach-dinh-dang-co-dieu-kien-dua-tren-o-khac-trong-excel-198515,Nguyễn Trang,3 ngày,"Định dạng có điều kiện trong Excel giúp bạn phân loại hoặc đánh dấu dữ liệu dễ hơn, dựa trên điều kiện. Tuy nhiên cũng có trường hợp bạn sẽ định dạng điều kiện dựa trên dữ liệu của ô khác",Ứng dụng
