title,link,user_name,date,description,category
Microsoft 365,https://quantrimang.com/download/tai-microsoft-365-194075,Hà Nguyễn,29/11,"Kết hợp các chương trình MS với các dịch vụ đám mây như OneDrive và Microsoft Teams, Microsoft 365 nhằm mục đích cung cấp các gói khác nhau cho phép bạn sử dụng chúng hầu như ở mọi nơi.",Ứng dụng văn phòng
Power BI,https://quantrimang.com/download/tai-power-bi-193719,Hà Nguyễn,09/11,"Power BI là một ứng dụng miễn phí cho phép bạn theo dõi dữ liệu quan trọng, tạo các báo cáo và trực quan hóa dữ liệu tương tác.",Ứng dụng văn phòng
Tux Typing,https://quantrimang.com/download/tux-typing-193214,Nguyễn Trang,12/01,"Tux Typing là một trong những chương trình luyện tập gõ 10 ngón, kiểm tra tốc độ máy tính của bạn như nào sau khi đã luyện tập và thành thạo gõ 10 ngón.",Ứng dụng văn phòng
WPS Office,https://quantrimang.com/download/tai-wps-office-192789,Hà Nguyễn,22/09,"WPS Office là một ứng dụng năng suất được phát triển bởi Kingsoft Office. Như tên gọi cho thấy, nó là một giải pháp thay thế miễn phí để giải quyết nhu cầu sử dụng Office hàng ngày của bạn.",Ứng dụng văn phòng
SmallPDF,https://quantrimang.com/download/tai-smallpdf-191855,Hà Nguyễn,29/12,"SmallPDF là một ứng dụng PDF trực tuyến, gọn nhẹ được trang bị tất cả các chức năng cơ bản của những giải pháp PDF.",Ứng dụng văn phòng
Lịch Vạn Niên,https://quantrimang.com/download/tai-lich-van-nien-190354,Nguyễn Trang,02/06,"Lịch Vạn Niên là ứng dụng xem lịch trên điện thoại, giúp bạn xem ngày âm dương trên điện thoại nhanh chóng, từ đó sắp xếp được công việc trọng đại của mình.",Ứng dụng văn phòng
Microsoft Outlook,https://quantrimang.com/download/tai-ms-outlook-189651,Hà Nguyễn,29/04,Microsoft Outlook là một ứng dụng kinh doanh và năng suất được phát triển bởi Microsoft Corporation.,Ứng dụng văn phòng
Microsoft Planner,https://quantrimang.com/download/tai-microsoft-planner-188968,Hà Nguyễn,01/04,Microsoft Planner là một công cụ dựa trên web để quản lý công việc.,Ứng dụng văn phòng
Zing.vn,https://quantrimang.com/download/tai-zing-vn-188397,Nguyễn Trang,11/03,"Ứng dụng Zing.vn cũng cung cấp tin tức nóng hổi tới bạn về mọi mặt trong cuộc sống như xã hội, thể thao, pháp luật,... Như vậy chúng ta sẽ tìm nhanh được những thông tin, tin tức theo sự quan tâm của mình.",Ứng dụng văn phòng
PDF-XChange Editor,https://quantrimang.com/download/tai-pdf-xchange-editor-188086,Hà Nguyễn,26/02,PDF-Xchange Editor là trình chỉnh sửa và xem PDF miễn phí mà người dùng có thể tải xuống trên máy tính,Ứng dụng văn phòng
