title,link,user_name,date,description,category
Virus có còn là mối đe dọa đối với an ninh mạng không?,https://quantrimang.com/lang-cong-nghe/virus-co-con-la-moi-de-doa-doi-voi-an-ninh-mang-khong-198255,Chàng trai nhạt nhẽo,19/07,"Virus đã từng là mối đe dọa an ninh mạng hàng đầu trên toàn cầu, nhưng liệu có còn như vậy không? Virus đã từng có mức độ phổ biến như thế nào và ngày nay chúng có còn nguy hiểm không?",Tấn công mạng
"Apple phát hành bản vá zero-day khẩn cấp cho iOS, iPadOS và macOS, người dùng lưu ý",https://quantrimang.com/lang-cong-nghe/apple-phat-hanh-ban-va-khan-cap-cho-ios-ipados-va-macos-198121,Phạm Hải,13/07,Apple vừa gấp rút phát hành một loạt các bản cập nhật Phản hồi bảo mật nhanh (Rapid Security Response - RSR) nhằm giải quyết một lỗ hổng zero-day mới đang bị khai thác tích cực.,Tấn công mạng
Tài liệu bị rò rỉ của Microsoft tuyên bố PS5 Slim sẽ ra mắt trong năm nay với giá 399 USD,https://quantrimang.com/lang-cong-nghe/sony-ps5-slim-198027,Phạm Hải,05/07,"Một tài liệu mới bị rò rỉ gần đây đã mang đến cái nhìn sâu sắc về kế hoạch của Sony cho dòng sản phẩm PlayStation 5, và đáng chú ý là thông tin rò rỉ lại đến từ chính đối thủ Microsoft.",Tấn công mạng
Microsoft tiết lộ sự cố “sập hệ thống” đầu tháng 6 là do một cuộc tấn công DDoS,https://quantrimang.com/lang-cong-nghe/microsoft-tiet-lo-su-co-ngung-sap-he-thong-dau-thang-6-197759,Phạm Hải,19/06,"Trong tuần đầu tiên của tháng 6, Microsoft đã bất ngờ gặp sự cố ngừng hoạt động nghiêm trọng ảnh hưởng đến hầu hết các dịch vụ của hãng bao gồm Azure, Outlook và Teams.",Tấn công mạng
"Phát hiện chủng ransomware mới sử dụng bộ mã hóa Windows, Linux bị rò rỉ",https://quantrimang.com/lang-cong-nghe/phat-hien-chung-ransomware-moi-su-dung-bo-ma-hoa-windows-linux-bi-ro-ri-197360,Phạm Hải,29/05,"Một hoạt động ransomware mới có tên 'Buhti', sử dụng mã bị rò rỉ của các họ ransomware LockBit và Babuk để nhắm mục tiêu vào các hệ thống Windows và Linux",Tấn công mạng
Computer Vision được sử dụng để phát hiện tấn công phishing như thế nào?,https://quantrimang.com/lang-cong-nghe/computer-vision-phat-hien-tan-cong-phishing-197144,Nguyen Ngoc Khanh,16/05,"Computer Vision, thị giác máy tính, Computer Vision phát hiện tấn công phishing, thị giác máy tính phát hiện tấn công phishing, phát hiện tấn công phishing bằng Computer Vision",Tấn công mạng
7 mối đe dọa bảo mật SaaS cần biết vào năm 2023,https://quantrimang.com/lang-cong-nghe/nhung-moi-de-doa-bao-mat-saas-can-biet-196529,Chàng trai nhạt nhẽo,15/04,"Software-as-a-Service (SaaS) đang thay đổi cách các tổ chức sử dụng và cung cấp ứng dụng; tuy nhiên, sự thay đổi mô hình này đi kèm với các mối đe dọa vốn có của chính nó, dẫn đến nhiều cuộc tấn công bảo mật.",Tấn công mạng
Xuất hiện malware HiatusRAT mới nhắm vào router doanh nghiệp,https://quantrimang.com/lang-cong-nghe/malware-hiatusrat-moi-nham-vao-router-doanh-nghiep-195840,Chàng trai nhạt nhẽo,08/03,"Một chiến dịch phần mềm độc hại mới, được gọi là ""Hiatus"", đang nhắm mục tiêu vào các router của doanh nghiệp nhỏ để đánh cắp dữ liệu và theo dõi nạn nhân.",Tấn công mạng
FBI bắt đầu điều tra một sự cố an ninh mạng nội bộ nghiêm trọng,https://quantrimang.com/lang-cong-nghe/fbi-bat-dau-dieu-tra-mot-su-co-an-ninh-mang-noi-bo-195500,Phạm Hải,20/02,"Cục Điều tra Liên bang Mỹ (FBI) được cho là đang tiến hành một cuộc thanh, điều tra toàn diện đối với mọi hoạt động mạng độc hại diễn ra trên hệ thống mạng nội bộ của cơ quan này.",Tấn công mạng
Twitter sắp chia sẻ doanh thu quảng cáo với tài khoản người sáng tạo có “tích xanh”,https://quantrimang.com/lang-cong-nghe/twitter-sap-chia-se-doanh-thu-quang-cao-195246,Phạm Hải,04/02,"Các đây không lâu, Twitter đã một quyết định gây tranh cãi khi yêu cầu người dùng trả 8 đô la một tháng để có được huy hiệu tích xanh đó bên cạnh tài khoản của mình.",Tấn công mạng
